Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Germany,Germany,DE,133.59,178.01,83.03,81.32,entsoe.eu,false,
2024-01-01 00:15:00,Germany,Germany,DE,134.26,178.74,82.95,81.23,entsoe.eu,false,
2024-01-01 00:30:00,Germany,Germany,DE,135.18,179.85,82.84,81.1,entsoe.eu,false,
2024-01-01 00:45:00,Germany,Germany,DE,133.95,178.42,83.01,81.28,entsoe.eu,false,
2024-01-01 01:00:00,Germany,Germany,DE,134.48,179.06,82.93,81.6,entsoe.eu,false,
2024-01-01 01:15:00,Germany,Germany,DE,134.88,179.6,82.85,81.51,entsoe.eu,false,
2024-01-01 01:30:00,Germany,Germany,DE,135.57,180.36,82.77,81.43,entsoe.eu,false,
2024-01-01 01:45:00,Germany,Germany,DE,136.41,181.45,82.69,81.35,entsoe.eu,false,
2024-01-01 02:00:00,Germany,Germany,DE,138.56,183.94,82.41,81.39,entsoe.eu,false,
2024-01-01 02:15:00,Germany,Germany,DE,139.57,185.19,82.27,81.25,entsoe.eu,false,
2024-01-01 02:30:00,Germany,Germany,DE,139.2,184.88,82.3,81.26,entsoe.eu,false,
2024-01-01 02:45:00,Germany,Germany,DE,139.22,184.95,82.31,81.28,entsoe.eu,false,
2024-01-01 03:00:00,Germany,Germany,DE,140.35,186.19,82.17,81.43,entsoe.eu,false,
2024-01-01 03:15:00,Germany,Germany,DE,139.58,185.19,82.29,81.56,entsoe.eu,false,
2024-01-01 03:30:00,Germany,Germany,DE,140.03,185.74,82.27,81.54,entsoe.eu,false,
2024-01-01 03:45:00,Germany,Germany,DE,140.98,186.96,82.14,81.4,entsoe.eu,false,
2024-01-01 04:00:00,Germany,Germany,DE,140.95,187.02,82.13,81.58,entsoe.eu,false,
2024-01-01 04:15:00,Germany,Germany,DE,140.43,186.41,82.18,81.64,entsoe.eu,false,
2024-01-01 04:30:00,Germany,Germany,DE,139.96,185.9,82.23,81.68,entsoe.eu,false,
2024-01-01 04:45:00,Germany,Germany,DE,140.91,187.0,82.11,81.56,entsoe.eu,false,
2024-01-01 05:00:00,Germany,Germany,DE,140.48,186.56,82.18,81.28,entsoe.eu,false,
2024-01-01 05:15:00,Germany,Germany,DE,141.0,187.27,82.12,81.21,entsoe.eu,false,
2024-01-01 05:30:00,Germany,Germany,DE,142.8,189.46,81.92,81.0,entsoe.eu,false,
2024-01-01 05:45:00,Germany,Germany,DE,142.9,189.58,81.9,80.98,entsoe.eu,false,
2024-01-01 06:00:00,Germany,Germany,DE,143.13,190.04,81.89,81.33,entsoe.eu,false,
2024-01-01 06:15:00,Germany,Germany,DE,141.87,188.74,82.05,81.49,entsoe.eu,false,
2024-01-01 06:30:00,Germany,Germany,DE,140.48,187.16,82.21,81.66,entsoe.eu,false,
2024-01-01 06:45:00,Germany,Germany,DE,139.65,186.24,82.32,81.77,entsoe.eu,false,
2024-01-01 07:00:00,Germany,Germany,DE,138.06,184.47,82.51,81.8,entsoe.eu,false,
2024-01-01 07:15:00,Germany,Germany,DE,138.07,184.57,82.51,81.81,entsoe.eu,false,
2024-01-01 07:30:00,Germany,Germany,DE,136.26,182.58,82.75,82.08,entsoe.eu,false,
2024-01-01 07:45:00,Germany,Germany,DE,134.26,180.52,82.98,82.32,entsoe.eu,false,
2024-01-01 08:00:00,Germany,Germany,DE,134.07,180.26,83.09,82.53,entsoe.eu,false,
2024-01-01 08:15:00,Germany,Germany,DE,132.75,178.93,83.26,82.61,entsoe.eu,false,
2024-01-01 08:30:00,Germany,Germany,DE,130.25,176.34,83.55,82.98,entsoe.eu,false,
2024-01-01 08:45:00,Germany,Germany,DE,127.92,173.75,83.85,83.36,entsoe.eu,false,
2024-01-01 09:00:00,Germany,Germany,DE,127.4,173.15,83.92,83.57,entsoe.eu,false,
2024-01-01 09:15:00,Germany,Germany,DE,126.36,171.86,84.08,83.8,entsoe.eu,false,
2024-01-01 09:30:00,Germany,Germany,DE,124.03,169.15,84.38,84.1,entsoe.eu,false,
2024-01-01 09:45:00,Germany,Germany,DE,123.01,168.23,84.5,84.22,entsoe.eu,false,
2024-01-01 10:00:00,Germany,Germany,DE,121.0,165.91,84.78,84.42,entsoe.eu,false,
2024-01-01 10:15:00,Germany,Germany,DE,120.45,165.38,84.83,84.47,entsoe.eu,false,
2024-01-01 10:30:00,Germany,Germany,DE,119.5,164.18,84.97,84.62,entsoe.eu,false,
