Latitude (decimal degrees):	48.211
Longitude (decimal degrees):	9.034
Elevation (m):	730
Radiation database:	PVGIS-SARAH3


Slope: 30 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,8.96,3.1,0.0
20230101:0110,0.0,0.0,0.0,8.63,3.17,0.0
20230101:0210,0.0,0.0,0.0,8.28,3.17,0.0
20230101:0310,0.0,0.0,0.0,7.92,3.03,0.0
20230101:0410,0.0,0.0,0.0,7.87,2.97,0.0
20230101:0510,0.0,0.0,0.0,7.83,3.03,0.0
20230101:0610,0.0,0.0,0.0,7.47,2.97,0.0
20230101:0710,0.0,0.0,0.0,7.41,2.9,0.0
20230101:0810,226.39,277.31,6.31,7.3,2.69,0.0
20230101:0910,388.44,458.39,12.49,8.36,2.62,0.0
20230101:1010,518.2,617.44,16.74,10.09,2.41,0.0
20230101:1110,557.71,670.31,18.68,11.33,2.41,0.0
20230101:1210,505.32,606.91,18.11,11.97,2.41,0.0
20230101:1310,442.0,531.63,15.1,12.17,2.14,0.0
20230101:1410,335.77,407.41,9.92,11.74,2.0,0.0
20230101:1510,3.32,12.67,3.02,10.39,2.0,0.0
20230101:1610,0.0,0.0,0.0,8.84,2.07,0.0
20230101:1710,0.0,0.0,0.0,7.83,2.07,0.0
20230101:1810,0.0,0.0,0.0,7.4,2.21,0.0
20230101:1910,0.0,0.0,0.0,8.32,2.62,0.0
20230101:2010,0.0,0.0,0.0,8.32,2.76,0.0
20230101:2110,0.0,0.0,0.0,8.25,2.76,0.0
20230101:2210,0.0,0.0,0.0,8.03,2.69,0.0
20230101:2310,0.0,0.0,0.0,7.65,2.62,0.0
20230102:0010,0.0,0.0,0.0,7.35,2.62,0.0
20230102:0110,0.0,0.0,0.0,7.19,2.62,0.0
20230102:0210,0.0,0.0,0.0,7.14,2.69,0.0
20230102:0310,0.0,0.0,0.0,7.11,2.76,0.0
20230102:0410,0.0,0.0,0.0,6.92,2.62,0.0
20230102:0510,0.0,0.0,0.0,6.76,2.62,0.0
20230102:0610,0.0,0.0,0.0,6.55,2.55,0.0
20230102:0710,0.0,0.0,0.0,7.13,2.76,0.0
20230102:0810,54.56,79.45,6.34,7.21,2.62,0.0
20230102:0910,100.63,131.9,12.53,8.27,2.21,0.0
20230102:1010,252.24,304.41,16.8,9.98,1.66,0.0
20230102:1110,523.36,632.61,18.76,11.52,1.72,0.0
20230102:1210,515.28,621.03,18.21,12.25,2.28,0.0
20230102:1310,206.58,253.48,15.21,12.03,3.17,0.0
20230102:1410,194.12,239.25,10.05,11.32,4.34,0.0
20230102:1510,4.37,14.48,3.15,10.13,4.21,0.0
20230102:1610,0.0,0.0,0.0,9.2,4.21,0.0
20230102:1710,0.0,0.0,0.0,8.66,4.34,0.0
20230102:1810,0.0,0.0,0.0,8.36,4.07,0.0
20230102:1910,0.0,0.0,0.0,7.88,3.24,0.0
20230102:2010,0.0,0.0,0.0,7.37,2.9,0.0
20230102:2110,0.0,0.0,0.0,6.98,2.48,0.0
20230102:2210,0.0,0.0,0.0,6.62,2.14,0.0
20230102:2310,0.0,0.0,0.0,6.23,1.79,0.0
20230103:0010,0.0,0.0,0.0,5.88,1.45,0.0
20230103:0110,0.0,0.0,0.0,5.59,1.03,0.0
20230103:0210,0.0,0.0,0.0,5.3,0.76,0.0
20230103:0310,0.0,0.0,0.0,5.0,0.55,0.0
20230103:0410,0.0,0.0,0.0,4.61,0.62,0.0
20230103:0510,0.0,0.0,0.0,4.18,0.69,0.0
20230103:0610,0.0,0.0,0.0,3.73,0.76,0.0
20230103:0710,0.0,0.0,0.0,2.83,0.76,0.0
20230103:0810,56.33,80.31,6.36,2.76,0.55,0.0
20230103:0910,214.61,256.51,12.58,3.61,0.34,0.0
20230103:1010,185.16,224.98,16.87,5.19,0.41,0.0
20230103:1110,389.96,458.88,18.85,5.83,0.97,0.0
20230103:1210,571.38,681.01,18.32,6.45,1.24,0.0
20230103:1310,367.35,433.05,15.33,6.71,1.31,0.0
20230103:1410,295.88,352.84,10.18,6.73,1.38,0.0
