Date (GMT+1),Non-Renewable,Renewable
,Power (MW),Power (MW)
2024-01-01T00:00+01:00,9019.411195,42169.4285
2024-01-01T00:15+01:00,8819.891974,41751.34986
2024-01-01T00:30+01:00,8713.642612,41608.50382
2024-01-01T00:45+01:00,8668.456435,41731.35771
2024-01-01T01:00+01:00,8676.866225,41682.14643
2024-01-01T01:15+01:00,8695.876368,41434.65239
2024-01-01T01:30+01:00,8685.348899,41095.51728
2024-01-01T01:45+01:00,8642.217204,41234.12128
2024-01-01T02:00+01:00,8660.532813,41447.88722
2024-01-01T02:15+01:00,8677.389848,41356.36217
2024-01-01T02:30+01:00,8687.668456,41314.91209
2024-01-01T02:45+01:00,8669.09419,41014.96648
2024-01-01T03:00+01:00,8710.636085,40524.86503
2024-01-01T03:15+01:00,8716.641473,40181.63446
2024-01-01T03:30+01:00,8709.931615,40093.17694
2024-01-01T03:45+01:00,8728.62668,40125.21261
2024-01-01T04:00+01:00,8718.295411,39983.45325
2024-01-01T04:15+01:00,8698.456466,40079.36312
2024-01-01T04:30+01:00,8662.240972,39980.6801
2024-01-01T04:45+01:00,8658.245505,39739.95008
2024-01-01T05:00+01:00,8699.29771,40138.9474
2024-01-01T05:15+01:00,8710.307603,40410.91718
2024-01-01T05:30+01:00,8711.475434,40477.25518
2024-01-01T05:45+01:00,8728.133734,40192.28566
2024-01-01T06:00+01:00,8750.903715,40282.97603
2024-01-01T06:15+01:00,8730.225662,40008.40893
2024-01-01T06:30+01:00,8719.978569,39685.86555
2024-01-01T06:45+01:00,8744.435735,39713.71429
2024-01-01T07:00+01:00,8739.665245,39842.23744
2024-01-01T07:15+01:00,8712.536726,40096.50636
2024-01-01T07:30+01:00,8715.345662,40352.30765
2024-01-01T07:45+01:00,8665.317814,40580.22203
2024-01-01T08:00+01:00,8686.941108,40956.8641
2024-01-01T08:15+01:00,8727.545176,40954.01328
2024-01-01T08:30+01:00,8686.793015,41432.42712
2024-01-01T08:45+01:00,8681.352769,42199.36109
2024-01-01T09:00+01:00,8640.568473,42517.92686
2024-01-01T09:15+01:00,8657.066819,43149.46251
2024-01-01T09:30+01:00,8638.625005,43846.54528
2024-01-01T09:45+01:00,8647.095788,44708.87474
2024-01-01T10:00+01:00,8762.866909,45468.18747
2024-01-01T10:15+01:00,8855.222443,46449.63108
2024-01-01T10:30+01:00,8864.320667,47356.58832
2024-01-01T10:45+01:00,8822.054193,47383.36839
2024-01-01T11:00+01:00,8720.235649,47810.7292
2024-01-01T11:15+01:00,8737.324781,48328.87425
2024-01-01T11:30+01:00,8683.148122,48769.98004
2024-01-01T11:45+01:00,8718.779061,49031.22597
2024-01-01T12:00+01:00,8765.428103,48349.66064
2024-01-01T12:15+01:00,8803.447722,48026.24387
2024-01-01T12:30+01:00,8757.677256,47894.97294
2024-01-01T12:45+01:00,8755.283136,47253.34708
2024-01-01T13:00+01:00,8719.348435,46608.18824
2024-01-01T13:15+01:00,8697.727057,46003.54569
2024-01-01T13:30+01:00,8660.233225,45491.81389
2024-01-01T13:45+01:00,8711.629439,44906.85649
2024-01-01T14:00+01:00,8836.314453,43587.87722
2024-01-01T14:15+01:00,8893.980738,42829.61749
2024-01-01T14:30+01:00,8907.879303,42127.46432
2024-01-01T14:45+01:00,8920.093648,41354.17744
2024-01-01T15:00+01:00,8933.531242,40416.34936
2024-01-01T15:15+01:00,8972.648823,39787.72066
2024-01-01T15:30+01:00,8967.384707,38821.96499
2024-01-01T15:45+01:00,9002.645232,38322.28108
2024-01-01T16:00+01:00,9410.25713,38281.17761
2024-01-01T16:15+01:00,9473.328736,38409.0816
2024-01-01T16:30+01:00,9510.159622,38617.70899
2024-01-01T16:45+01:00,9700.471174,39028.15603
2024-01-01T17:00+01:00,9923.304612,39594.85345
2024-01-01T17:15+01:00,10001.32278,39549.34381
2024-01-01T17:30+01:00,10008.93597,39547.15954
2024-01-01T17:45+01:00,10102.72852,39645.03395
2024-01-01T18:00+01:00,10108.38834,39464.36582
2024-01-01T18:15+01:00,10054.50042,38978.19749
2024-01-01T18:30+01:00,10000.16991,38364.23325
2024-01-01T18:45+01:00,10028.61671,38343.14631
2024-01-01T19:00+01:00,10006.39375,38283.49494
2024-01-01T19:15+01:00,9850.162615,38189.21949
2024-01-01T19:30+01:00,9876.233015,38180.20423
2024-01-01T19:45+01:00,9845.800148,38084.9264
2024-01-01T20:00+01:00,9791.171002,37770.45164
2024-01-01T20:15+01:00,9756.350296,37209.10916
2024-01-01T20:30+01:00,9694.104832,36899.33264
2024-01-01T20:45+01:00,9619.154409,36780.67482
2024-01-01T21:00+01:00,9676.684184,36327.258
2024-01-01T21:15+01:00,9560.495843,36138.31961
2024-01-01T21:30+01:00,9550.597103,35769.75845
2024-01-01T21:45+01:00,9539.762044,35500.89809
2024-01-01T22:00+01:00,9433.234413,34905.5419
2024-01-01T22:15+01:00,9459.601154,34812.64703
2024-01-01T22:30+01:00,9375.636164,34210.74065
2024-01-01T22:45+01:00,9335.859195,33539.03929
2024-01-01T23:00+01:00,9297.164697,32891.54728
2024-01-01T23:15+01:00,9339.345534,32371.11923
2024-01-01T23:30+01:00,9262.488026,32323.28679
2024-01-01T23:45+01:00,9195.007018,31753.8952
2024-01-02T00:00+01:00,9433.11134,31281.10517
2024-01-02T00:15+01:00,9009.610957,31179.22609
2024-01-02T00:30+01:00,9024.408416,31030.13392
2024-01-02T00:45+01:00,9020.000236,30848.05862
2024-01-02T01:00+01:00,9049.508445,30616.69976
2024-01-02T01:15+01:00,8989.543606,30429.50825
2024-01-02T01:30+01:00,8984.550718,30150.25343
2024-01-02T01:45+01:00,9021.738683,29940.02338
2024-01-02T02:00+01:00,9016.938317,30086.67301
2024-01-02T02:15+01:00,9024.326491,29965.75707
2024-01-02T02:30+01:00,9040.189296,30157.61682
2024-01-02T02:45+01:00,9162.797423,30333.68878
2024-01-02T03:00+01:00,9191.987122,30693.04331
2024-01-02T03:15+01:00,9102.212354,31388.80089
2024-01-02T03:30+01:00,9215.3247,31800.63258
2024-01-02T03:45+01:00,9209.760495,32157.34937
2024-01-02T04:00+01:00,9232.40473,32936.60553
2024-01-02T04:15+01:00,9264.028206,33727.61078
2024-01-02T04:30+01:00,9270.018694,34313.67114
2024-01-02T04:45+01:00,9354.322816,34830.66382
2024-01-02T05:00+01:00,9535.322863,35629.99228
2024-01-02T05:15+01:00,9607.314774,36409.73914
2024-01-02T05:30+01:00,9632.451439,37271.44529
2024-01-02T05:45+01:00,9762.046677,37866.7576
2024-01-02T06:00+01:00,10050.21917,39151.32974
2024-01-02T06:15+01:00,10097.24509,39676.70895
2024-01-02T06:30+01:00,10099.7134,40195.09213
2024-01-02T06:45+01:00,10186.074,40680.1048
2024-01-02T07:00+01:00,10516.58058,41172.76249
2024-01-02T07:15+01:00,10595.76945,41617.67365
2024-01-02T07:30+01:00,10663.1837,42057.90225
2024-01-02T07:45+01:00,10751.90256,42376.5426
2024-01-02T08:00+01:00,11257.08289,42683.669
2024-01-02T08:15+01:00,11430.67996,42886.61521
2024-01-02T08:30+01:00,11461.57396,43144.04221
2024-01-02T08:45+01:00,11564.2241,43175.23961
2024-01-02T09:00+01:00,11969.75093,43084.69704
2024-01-02T09:15+01:00,12112.16905,43429.21502
2024-01-02T09:30+01:00,12185.80382,43702.96507
2024-01-02T09:45+01:00,12516.41371,43901.46101
2024-01-02T10:00+01:00,12463.46432,44035.73184
2024-01-02T10:15+01:00,12520.0017,44079.15782
2024-01-02T10:30+01:00,12620.46403,44039.41082
2024-01-02T10:45+01:00,12663.9259,43857.69839
2024-01-02T11:00+01:00,12894.43756,43286.80796
2024-01-02T11:15+01:00,12910.09445,42660.41617
2024-01-02T11:30+01:00,13014.42713,42045.76331
2024-01-02T11:45+01:00,13146.96141,41654.33238
2024-01-02T12:00+01:00,13379.77927,41456.32315
2024-01-02T12:15+01:00,13477.85221,41489.42449
2024-01-02T12:30+01:00,13630.5918,41603.37062
2024-01-02T12:45+01:00,13608.82354,41293.62522
2024-01-02T13:00+01:00,13477.49577,40721.18885
2024-01-02T13:15+01:00,13537.5374,40264.90608
2024-01-02T13:30+01:00,13601.23502,39598.42794
2024-01-02T13:45+01:00,13618.84442,39113.85765
2024-01-02T14:00+01:00,13616.72228,38800.7947
2024-01-02T14:15+01:00,13698.11813,38489.61074
2024-01-02T14:30+01:00,13663.58003,38191.23566
2024-01-02T14:45+01:00,13618.55383,38077.19871
2024-01-02T15:00+01:00,13489.99732,37880.76091
2024-01-02T15:15+01:00,13376.32133,37715.0196
2024-01-02T15:30+01:00,13415.80384,37880.89209
2024-01-02T15:45+01:00,13405.32922,38194.60109
2024-01-02T16:00+01:00,13681.25016,38698.08589
2024-01-02T16:15+01:00,13694.96988,39254.04394
2024-01-02T16:30+01:00,13656.42321,40026.57413
2024-01-02T16:45+01:00,13669.88186,40963.99685
2024-01-02T17:00+01:00,13617.80043,41927.25534
2024-01-02T17:15+01:00,13514.98273,42769.05009
